Codice ISTAT,Codice Regione,Codice Provincia,Codice Comune,Regione,Provincia,Comune,Latitudine,Longitudine
010044,ITC3,ITC33,010044,Liguria,Genova,Portofino,44.3036653,9.2093446
008020,ITC3,ITC31,008020,Liguria,Imperia,Chiusavecchia,43.9676459,7.9841386
009009,ITC3,ITC32,009009,Liguria,Savona,Bardineto,44.1931231,8.1324517
011012,ITC3,ITC34,011012,Liguria,La Spezia,Deiva Marina,44.2182308,9.5200465
ITC31,ITC3,ITC31,,,Imperia,,43.8862958,8.0267106
008049,ITC3,ITC31,008049,Liguria,Imperia,Rezzo,44.021425,7.871445
011011,ITC3,ITC34,011011,Liguria,La Spezia,Castelnuovo Magra,44.0998518,10.0169419
008029,ITC3,ITC31,008029,Liguria,Imperia,Dolceacqua,43.8509263,7.6236357
009031,ITC3,ITC32,009031,Liguria,Savona,Giustenice,44.1725509,8.2471878
010030,ITC3,ITC33,010030,Liguria,Genova,Lorsica,44.445276,9.2843109
011010,ITC3,ITC34,011010,Liguria,La Spezia,Carrodano,44.2419991,9.6557533
010011,ITC3,ITC33,010011,Liguria,Genova,Casarza Ligure,44.2735459,9.4497709
009039,ITC3,ITC32,009039,Liguria,Savona,Mioglia,44.4904597,8.4124727
010032,ITC3,ITC33,010032,Liguria,Genova,Masone,44.5013362,8.7163481
011025,ITC3,ITC34,011025,Liguria,La Spezia,Rocchetta di Vara,44.251273,9.7572844
010046,ITC3,ITC33,010046,Liguria,Genova,Rapallo,44.3511473,9.229671
008007,ITC3,ITC31,008007,Liguria,Imperia,Bajardo,43.9031088,7.7167756
008032,ITC3,ITC31,008032,Liguria,Imperia,Isolabona,43.8788708,7.6400263
008014,ITC3,ITC31,008014,Liguria,Imperia,Castellaro,43.865221,7.868748
008027,ITC3,ITC31,008027,Liguria,Imperia,Diano Marina,43.9100767,8.0803641
009068,ITC3,ITC32,009068,Liguria,Savona,Villanova d'Albenga,44.0468362,8.1428461
008042,ITC3,ITC31,008042,Liguria,Imperia,Pieve di Teco,44.047026,7.914946
010043,ITC3,ITC33,010043,Liguria,Genova,Pieve Ligure,44.3762485,9.0861613
010035,ITC3,ITC33,010035,Liguria,Genova,Mignanego,44.54833,8.9156574
011009,ITC3,ITC34,011009,Liguria,La Spezia,Carro,44.2728242,9.6074789
009066,ITC3,ITC32,009066,Liguria,Savona,Vendone,44.0747064,8.0739301
010018,ITC3,ITC33,010018,Liguria,Genova,Cogorno,44.3330809,9.3724611
009056,ITC3,ITC32,009056,Liguria,Savona,Savona,44.3080251,8.4810315
009045,ITC3,ITC32,009045,Liguria,Savona,Ortovero,44.053427,8.096649
008039,ITC3,ITC31,008039,Liguria,Imperia,Ospedaletti,43.8020802,7.7181662
009067,ITC3,ITC32,009067,Liguria,Savona,Vezzi Portio,44.23754985,8.353740825847455
008055,ITC3,ITC31,008055,Liguria,Imperia,Sanremo,43.8198253,7.7748827
011005,ITC3,ITC34,011005,Liguria,La Spezia,Bonassola,44.1835463,9.5825259
008060,ITC3,ITC31,008060,Liguria,Imperia,Terzorio,43.852321,7.898349
010033,ITC3,ITC33,010033,Liguria,Genova,Mele,44.4475498,8.7477687
008018,ITC3,ITC31,008018,Liguria,Imperia,Cesio,44.0072964,7.9735359
010042,ITC3,ITC33,010042,Liguria,Genova,Orero,44.4172124,9.2890384
011015,ITC3,ITC34,011015,Liguria,La Spezia,La Spezia,44.1033871,9.8217022
011024,ITC3,ITC34,011024,Liguria,La Spezia,Riomaggiore,44.0989747,9.7386704
008036,ITC3,ITC31,008036,Liguria,Imperia,Montalto Ligure,43.9277174,7.8444438
008065,ITC3,ITC31,008065,Liguria,Imperia,Ventimiglia,43.7917623,7.6033131
008053,ITC3,ITC31,008053,Liguria,Imperia,San Biagio della Cima,43.8182416,7.6488198
010064,ITC3,ITC33,010064,Liguria,Genova,Uscio,44.4133432,9.1625628
009037,ITC3,ITC32,009037,Liguria,Savona,Massimino,44.2995752,8.0706198
009025,ITC3,ITC32,009025,Liguria,Savona,Cisano sul Neva,44.0864021,8.1474179
009051,ITC3,ITC32,009051,Liguria,Savona,Pontinvrea,44.4446264,8.43446
010020,ITC3,ITC33,010020,Liguria,Genova,Crocefieschi,44.5797477,9.0239649
010023,ITC3,ITC33,010023,Liguria,Genova,Favale di Malvaro,44.4529968,9.2595603
008002,ITC3,ITC31,008002,Liguria,Imperia,Apricale,43.8803889,7.6602096
010065,ITC3,ITC33,010065,Liguria,Genova,Valbrevenna,44.5605766,9.0916029
ITC3,ITC3,,,Liguria,,,,
009065,ITC3,ITC32,009065,Liguria,Savona,Varazze,44.3592996,8.5753273
010055,ITC3,ITC33,010055,Liguria,Genova,Sant'Olcese,44.4908639,8.9705395
011026,ITC3,ITC34,011026,Liguria,La Spezia,Santo Stefano di Magra,44.1650993,9.9173304
