Codice Regione,Codice Provincia,Codice Comune,regione,Provincia,Comune,Codice ISTAT,Latitude,Longitude
ITC3,ITC33,010031,,,Lumarzo,010031,44.4528876,9.1326199
ITC3,ITC33,010032,,,Masone,010032,44.5013362,8.7163481
ITC3,ITC33,010033,,,Mele,010033,44.4475498,8.7477687
ITC3,ITC33,010034,,,Mezzanego,010034,44.3920085,9.407722
ITC3,ITC33,010035,,,Mignanego,010035,44.54833,8.9156574
ITC3,ITC33,010036,,,Moconesi*,010036,44.4375998,9.2147076
ITC3,ITC33,010037,,,Moneglia,010037,44.2385001,9.4899769
ITC3,ITC33,010038,,,Montebruno,010038,44.5257423,9.2475673
ITC3,ITC33,010039,,,Montoggio,010039,44.5154356,9.0442742
ITC3,ITC33,010040,,,Ne,010040,44.3519258,9.4402573
ITC3,ITC33,010041,,,Neirone,010041,44.4546639,9.1905114
ITC3,ITC33,010042,,,Orero,010042,44.4172124,9.2890384
ITC3,ITC33,010043,,,Pieve Ligure,010043,44.3762485,9.0861613
ITC3,ITC33,010044,,,Portofino,010044,44.3036653,9.2093446
ITC3,ITC33,010045,,,Propata,010045,44.5655702,9.1859403
ITC3,ITC33,010046,,,Rapallo,010046,44.3511473,9.229671
ITC3,ITC33,010047,,,Recco,010047,44.3652396,9.1462995
ITC3,ITC33,010048,,,Rezzoaglio,010048,44.5259967,9.387267
ITC3,ITC33,010049,,,Ronco Scrivia,010049,44.6132988,8.9523681
ITC3,ITC33,010050,,,Rondanina,010050,44.563245,9.218071
ITC3,ITC33,010051,,,Rossiglione,010051,44.5639606,8.6685132
ITC3,ITC33,010052,,,Rovegno,010052,44.5767478,9.2791616
ITC3,ITC33,010053,,,San Colombano Certenoli,010053,44.3992532,9.3288048
ITC3,ITC33,010054,,,Santa Margherita Ligure,010054,44.3339761,9.2111267
ITC3,ITC33,010055,,,Santo Olcese,010055,,
ITC3,ITC33,010056,,,Santo Stefano D Aveto,010056,44.5472974,9.4502082
ITC3,ITC33,010057,,,Savignone,010057,44.5641434,8.9895956
ITC3,ITC33,010058,,,Serra Ricco',010058,44.5188233,8.9516139
ITC3,ITC33,010059,,,Sestri Levante,010059,44.2714526,9.3958627
ITC3,ITC33,010060,,,Sori,010060,44.3733735,9.1044467
ITC3,ITC33,010061,,,Tiglieto,010061,44.5245575,8.6192573
ITC3,ITC33,010062,,,Torriglia,010062,44.5193954,9.1583522
ITC3,ITC33,010063,,,Tribogna,010063,44.4199527,9.1902231
ITC3,ITC33,010064,,,Uscio,010064,44.4133432,9.1625628
ITC3,ITC33,010065,,,Valbrevenna,010065,44.5605766,9.0916029
ITC3,ITC33,010066,,,Vobbia,010066,44.6012449,9.0386677
ITC3,ITC33,010067,,,Zoagli,010067,44.3367625,9.2669559
ITC3,ITC34,011001,,,Ameglia,011001,44.0659288,9.9574096
ITC3,ITC34,011002,,,Arcola,011002,44.1143821,9.9059673
ITC3,ITC34,011024,,,Riomaggiore,011024,44.0989747,9.7386704
ITC3,ITC34,011003,,,Beverino,011003,44.2059509,9.7857299
ITC3,ITC34,011004,,,Bolano,011004,44.1876494,9.8956159
ITC3,ITC34,011005,,,Bonassola,011005,44.1835463,9.5825259
ITC3,ITC34,011006,,,Borghetto Di Vara,011006,44.2236798,9.7214041
ITC3,ITC34,011007,,,Brugnato,011007,44.237038,9.7241009
ITC3,ITC34,011008,,,Calice Al Cornoviglio,011008,44.2434732,9.8367245
ITC3,ITC34,011009,,,Carro,011009,44.2728242,9.6074789
ITC3,ITC34,011010,,,Carrodano,011010,44.2419991,9.6557533
ITC3,ITC34,011011,,,Castelnuovo Magra,011011,44.0998518,10.0169419
ITC3,ITC34,011012,,,Deiva Marina,011012,44.2182308,9.5200465
ITC3,ITC34,011013,,,Follo,011013,44.1711511,9.841252217661719
ITC3,ITC34,011014,,,Framura,011014,44.2071004,9.5541046
ITC3,ITC34,011015,,,La Spezia (comune),011015,,
ITC3,ITC34,011016,,,Lerici,011016,44.0736073,9.9099135
