DATAFLOW,FREQ,RESIDENCE_TERR,DATA_TYPE,MAIN_DESTINATION,TYPE_TRIP,MAIN_TYPE_ACCOMMODATION,SEX,AGE,LABPROF_STATUS_C,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_RESIDENCE_TERR,NOTE_DATA_TYPE,NOTE_MAIN_DESTINATION,NOTE_TYPE_TRIP,NOTE_MAIN_TYPE_ACCOMMODATION,NOTE_SEX,NOTE_AGE,NOTE_LABPROF_STATUS_C,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1,2023,144180,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1A_OTH,2016,18874,,,,,,,,,,CONDIZIONE_DICH2__1A_OTH_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1A_OTH,2017,19566,,,,,,,,,,CONDIZIONE_DICH2__1A_OTH_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1A_OTH,2018,22628,,,,,,,,,,CONDIZIONE_DICH2__1A_OTH_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1A_OTH,2019,21220,,,,,,,,,,CONDIZIONE_DICH2__1A_OTH_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1A_OTH,2020,12699,,,,,,,,,,CONDIZIONE_DICH2__1A_OTH_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1A_OTH,2021,11172,,,,,,,,,,CONDIZIONE_DICH2__1A_OTH_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1A_OTH,2022,16676,,,,,,,,,,CONDIZIONE_DICH2__1A_OTH_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1A_OTH,2023,18473,,,,,,,,,,CONDIZIONE_DICH2__1A_OTH_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1A1,2016,14203,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1A1,2017,12827,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1A1,2018,17418,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1A1,2019,18254,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1A1,2020,11997,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1A1,2021,13212,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1A1,2022,15980,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1A1,2023,12558,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1B1,2016,86373,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1B1,2017,92396,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1B1,2018,98715,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1B1,2019,90169,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1B1,2020,55326,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1B1,2021,74977,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1B1,2022,87692,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1B1,2023,83165,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1B2,2016,37758,,,,,,,,,,CONDIZIONE_DICH2__1B2_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1B2,2017,29826,,,,,,,,,,CONDIZIONE_DICH2__1B2_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,HOL,9,9,Y_GE15,1B2,2018,45350,,,,,,,,,,CONDIZIONE_DICH2__1B2_N1,,,,
